side,signal_time,entry_time,exit_time,spot_entry,spot_stop,spot_exit,reason,points,risk_pts,r,structure,strike,expiry,iv,rolls,prem_in,prem_out,pnl_pts,pnl_rs,debit
LONG,2026-07-17 09:15:00+05:30,2026-07-17 09:30:00+05:30,2026-07-20 09:15:00+05:30,24211.4,24100.9,24191.7,ST_FLIP,-19.7,110.5,-0.178,naked_put_sell,24200,2026-07-23 15:30:00+05:30,0.1432,0,-162.28,-126.15,33.25,2494.0,False
LONG,2026-07-17 09:15:00+05:30,2026-07-17 09:30:00+05:30,2026-07-20 09:15:00+05:30,24211.4,24100.9,24191.7,ST_FLIP,-19.7,110.5,-0.178,bull_call_spread,24200,2026-07-23 15:30:00+05:30,0.1432,0,88.48,76.94,-13.19,-989.0,True
LONG,2026-07-17 09:15:00+05:30,2026-07-17 09:30:00+05:30,2026-07-20 09:15:00+05:30,24211.4,24100.9,24191.7,ST_FLIP,-19.7,110.5,-0.178,bull_put_spread,24200,2026-07-23 15:30:00+05:30,0.1432,0,-76.79,-75.16,0.11,9.0,False
LONG,2026-07-24 12:15:00+05:30,2026-07-24 12:30:00+05:30,2026-08-04 11:45:00+05:30,23792.1,23701.35,24524.15,ST_FLIP,732.05,90.75,8.067,naked_call_buy,23800,2026-07-30 15:30:00+05:30,0.1345,1,174.55,268.6,375.65,28174.0,True
LONG,2026-07-24 12:15:00+05:30,2026-07-24 12:30:00+05:30,2026-08-04 11:45:00+05:30,23792.1,23701.35,24524.15,ST_FLIP,732.05,90.75,8.067,naked_put_sell,23800,2026-07-30 15:30:00+05:30,0.1345,1,-156.51,-35.12,294.4,22080.0,False
LONG,2026-07-24 12:15:00+05:30,2026-07-24 12:30:00+05:30,2026-08-04 11:45:00+05:30,23792.1,23701.35,24524.15,ST_FLIP,732.05,90.75,8.067,bull_call_spread,23800,2026-07-30 15:30:00+05:30,0.1345,1,83.77,134.1,158.22,11866.0,True
LONG,2026-07-24 12:15:00+05:30,2026-07-24 12:30:00+05:30,2026-08-04 11:45:00+05:30,23792.1,23701.35,24524.15,ST_FLIP,732.05,90.75,8.067,bull_put_spread,23800,2026-07-30 15:30:00+05:30,0.1345,1,-78.33,-26.41,129.82,9737.0,False
LONG,2026-08-04 15:15:00+05:30,2026-08-05 09:15:00+05:30,2026-08-05 13:30:00+05:30,24669.2,24463.45,24503.15,ST_FLIP,-166.05,205.75,-0.807,naked_call_buy,24650,2026-08-06 15:30:00+05:30,0.1242,0,84.86,18.15,-67.74,-5080.0,True
LONG,2026-08-04 15:15:00+05:30,2026-08-05 09:15:00+05:30,2026-08-05 13:30:00+05:30,24669.2,24463.45,24503.15,ST_FLIP,-166.05,205.75,-0.807,naked_put_sell,24650,2026-08-06 15:30:00+05:30,0.1242,0,-60.13,-160.25,-102.32,-7674.0,False
LONG,2026-08-04 15:15:00+05:30,2026-08-05 09:15:00+05:30,2026-08-05 13:30:00+05:30,24669.2,24463.45,24503.15,ST_FLIP,-166.05,205.75,-0.807,bull_call_spread,24650,2026-08-06 15:30:00+05:30,0.1242,0,68.9,16.91,-52.85,-3964.0,True
LONG,2026-08-04 15:15:00+05:30,2026-08-05 09:15:00+05:30,2026-08-05 13:30:00+05:30,24669.2,24463.45,24503.15,ST_FLIP,-166.05,205.75,-0.807,bull_put_spread,24650,2026-08-06 15:30:00+05:30,0.1242,0,-51.12,-119.1,-69.68,-5226.0,False
LONG,2026-08-05 15:15:00+05:30,2026-08-06 09:15:00+05:30,2026-08-07 09:15:00+05:30,24632.7,24570.2,24535.05,SL,-97.65,62.5,-1.562,naked_call_buy,24650,2026-08-06 15:30:00+05:30,0.1241,1,25.13,113.2,-92.37,-6928.0,True
LONG,2026-08-05 15:15:00+05:30,2026-08-06 09:15:00+05:30,2026-08-07 09:15:00+05:30,24632.7,24570.2,24535.05,SL,-97.65,62.5,-1.562,naked_put_sell,24650,2026-08-06 15:30:00+05:30,0.1241,1,-41.29,-200.68,-16.99,-1274.0,False
LONG,2026-08-05 15:15:00+05:30,2026-08-06 09:15:00+05:30,2026-08-07 09:15:00+05:30,24632.7,24570.2,24535.05,SL,-97.65,62.5,-1.562,bull_call_spread,24650,2026-08-06 15:30:00+05:30,0.1241,1,25.02,62.36,-48.21,-3616.0,True
LONG,2026-08-05 15:15:00+05:30,2026-08-06 09:15:00+05:30,2026-08-07 09:15:00+05:30,24632.7,24570.2,24535.05,SL,-97.65,62.5,-1.562,bull_put_spread,24650,2026-08-06 15:30:00+05:30,0.1241,1,-40.95,-97.94,5.69,427.0,False
SHORT,2026-08-07 10:15:00+05:30,2026-08-07 10:30:00+05:30,2026-08-10 09:15:00+05:30,24562.95,24601.65,24601.65,SL,-38.7,38.7,-1.0,naked_put_buy,24550,2026-08-13 15:30:00+05:30,0.1191,0,132.92,80.5,-54.55,-4091.0,True
SHORT,2026-08-07 10:15:00+05:30,2026-08-07 10:30:00+05:30,2026-08-10 09:15:00+05:30,24562.95,24601.65,24601.65,SL,-38.7,38.7,-1.0,naked_call_sell,24550,2026-08-13 15:30:00+05:30,0.1191,0,-172.99,-146.4,23.4,1755.0,False
SHORT,2026-08-07 10:15:00+05:30,2026-08-07 10:30:00+05:30,2026-08-10 09:15:00+05:30,24562.95,24601.65,24601.65,SL,-38.7,38.7,-1.0,bear_call_spread,24550,2026-08-13 15:30:00+05:30,0.1191,0,-87.01,-89.96,-4.72,-354.0,False
SHORT,2026-08-07 10:15:00+05:30,2026-08-07 10:30:00+05:30,2026-08-10 09:15:00+05:30,24562.95,24601.65,24601.65,SL,-38.7,38.7,-1.0,bear_put_spread,24550,2026-08-13 15:30:00+05:30,0.1191,0,72.1,55.98,-17.4,-1305.0,True
LONG,2026-08-12 14:45:00+05:30,2026-08-12 15:15:00+05:30,2026-08-13 09:30:00+05:30,24384.9,24316.75,24316.75,SL,-68.15,68.15,-1.0,naked_call_buy,24400,2026-08-13 15:30:00+05:30,0.1176,0,54.98,5.23,-50.36,-3777.0,True
LONG,2026-08-12 14:45:00+05:30,2026-08-12 15:15:00+05:30,2026-08-13 09:30:00+05:30,24384.9,24316.75,24316.75,SL,-68.15,68.15,-1.0,naked_put_sell,24400,2026-08-13 15:30:00+05:30,0.1176,0,-65.69,-87.39,-23.23,-1742.0,False
LONG,2026-08-12 14:45:00+05:30,2026-08-12 15:15:00+05:30,2026-08-13 09:30:00+05:30,24384.9,24316.75,24316.75,SL,-68.15,68.15,-1.0,bull_call_spread,24400,2026-08-13 15:30:00+05:30,0.1176,0,49.31,5.23,-44.63,-3348.0,True
LONG,2026-08-12 14:45:00+05:30,2026-08-12 15:15:00+05:30,2026-08-13 09:30:00+05:30,24384.9,24316.75,24316.75,SL,-68.15,68.15,-1.0,bull_put_spread,24400,2026-08-13 15:30:00+05:30,0.1176,0,-58.24,-85.54,-28.74,-2155.0,False
SHORT,2026-08-17 09:15:00+05:30,2026-08-17 09:30:00+05:30,2026-08-17 12:45:00+05:30,24283.05,24357.6,24333.95,ST_FLIP,-50.9,74.55,-0.683,naked_put_buy,24300,2026-08-20 15:30:00+05:30,0.1093,0,101.35,76.01,-27.11,-2034.0,True
SHORT,2026-08-17 09:15:00+05:30,2026-08-17 09:30:00+05:30,2026-08-17 12:45:00+05:30,24283.05,24357.6,24333.95,ST_FLIP,-50.9,74.55,-0.683,naked_call_sell,24300,2026-08-20 15:30:00+05:30,0.1093,0,-98.46,-123.43,-27.19,-2039.0,False
SHORT,2026-08-17 09:15:00+05:30,2026-08-17 09:30:00+05:30,2026-08-17 12:45:00+05:30,24283.05,24357.6,24333.95,ST_FLIP,-50.9,74.55,-0.683,bear_call_spread,24300,2026-08-20 15:30:00+05:30,0.1093,0,-68.58,-83.13,-16.06,-1205.0,False
SHORT,2026-08-17 09:15:00+05:30,2026-08-17 09:30:00+05:30,2026-08-17 12:45:00+05:30,24283.05,24357.6,24333.95,ST_FLIP,-50.9,74.55,-0.683,bear_put_spread,24300,2026-08-20 15:30:00+05:30,0.1093,0,70.84,56.11,-16.0,-1200.0,True
SHORT,2026-08-18 09:15:00+05:30,2026-08-18 10:00:00+05:30,2026-08-20 09:15:00+05:30,24214.6,24269.5,24190.8,ST_FLIP,23.8,54.9,0.433,naked_put_buy,24200,2026-08-20 15:30:00+05:30,0.1113,0,72.45,31.85,-41.64,-3123.0,True
SHORT,2026-08-18 09:15:00+05:30,2026-08-18 10:00:00+05:30,2026-08-20 09:15:00+05:30,24214.6,24269.5,24190.8,ST_FLIP,23.8,54.9,0.433,naked_call_sell,24200,2026-08-20 15:30:00+05:30,0.1113,0,-96.66,-23.78,71.68,5376.0,False
SHORT,2026-08-18 09:15:00+05:30,2026-08-18 10:00:00+05:30,2026-08-20 09:15:00+05:30,24214.6,24269.5,24190.8,ST_FLIP,23.8,54.9,0.433,bear_call_spread,24200,2026-08-20 15:30:00+05:30,0.1113,0,-72.61,-23.75,47.89,3592.0,False
SHORT,2026-08-18 09:15:00+05:30,2026-08-18 10:00:00+05:30,2026-08-20 09:15:00+05:30,24214.6,24269.5,24190.8,ST_FLIP,23.8,54.9,0.433,bear_put_spread,24200,2026-08-20 15:30:00+05:30,0.1113,0,57.16,31.8,-26.25,-1969.0,True
